"study","author","year","class","order","family","genus","species","common_name","stage","sex","prenatal_trt_start","prenatal_trt_end","prenatal_dur","prenatal_unit","post_natal_trt_start","postnatal_trt_end","dur_trt_postnatal","postnatal_unit","total_trt_duration","total_trt_unit","prenatal_measure_delay","postnatal_measure_delay","measure_delay_units","envirn_type","nutrition_sum","nutrition_type","fasting_period","fasting_period_units","tissue_sum","tissue","mito_preparation","mito_efficiency_dir","respiration_category","antioxidant_category","oxidative_damage_category","measurement_category","measure_listed","descrp_measure","units...42","ref","t1","t2","dose","units...48","mean_t1","sd_t1","n_t1","mean_t2","sd_t2","n_t2","sample_depend","CORT_values_available","observation","species_phylo","SMDH","v_SMDH","species_phylo2"
"s10","Abelaira","2021","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Wistar rat","postnatal","female","NA","NA","NA","NA","1","10","10","days",10,"days","NA","60","days","care deprivation","NA","NA","NA","NA","brain","prefrontal cortex","NA","NA","NA","enzymatic","NA","antioxidant","MPO","myeloperoxidase (MPO) activity, neutrophil infiltrate in tissues","mU/mg","figure4a","maternal deprivation","control",3,"hours",0.0462465753424657,0.00759255148523346,12,0.0431780821917808,0.0129073375248968,12,"1","NA",180,"Rattus_norvegicus",0.279774219636604,0.184017067465969,"Rattus_norvegicus"
"s10","Abelaira","2021","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Wistar rat","postnatal","female","NA","NA","NA","NA","1","10","10","days",10,"days","NA","60","days","care deprivation","NA","NA","NA","NA","brain","hippocampus","NA","NA","NA","enzymatic","NA","antioxidant","MPO","myeloperoxidase (MPO) activity, neutrophil infiltrate in tissues","mU/mg","figure4a","maternal deprivation","control",3,"hours",0.0355068493150685,0.0113888272278502,12,0.0278356164383561,0.0121480823763735,12,"1","NA",181,"Rattus_norvegicus",0.628999013336769,0.190847343647429,"Rattus_norvegicus"
"s10","Abelaira","2021","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Wistar rat","postnatal","male","NA","NA","NA","NA","1","10","10","days",10,"days","NA","60","days","care deprivation","NA","NA","NA","NA","brain","prefrontal cortex","NA","NA","NA","non-enzymatic","NA","antioxidant","sulfhydryl","sulfhydryl content, oxidative damage to proteins by assessing integrity of sulfhydryl groups","nmol/mg","figure2d","maternal deprivation","control",3,"hours",0.664772727272728,0.141713247891998,12,0.882954545454546,0.106284935918998,12,"1","NA",182,"Rattus_norvegicus",-1.68167927884156,0.251130998643656,"Rattus_norvegicus"
"s10","Abelaira","2021","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Wistar rat","postnatal","male","NA","NA","NA","NA","1","10","10","days",10,"days","NA","60","days","care deprivation","NA","NA","NA","NA","brain","hippocampus","NA","NA","NA","non-enzymatic","NA","antioxidant","sulfhydryl","sulfhydryl content, oxidative damage to proteins by assessing integrity of sulfhydryl groups","nmol/mg","figure2d","maternal deprivation","control",3,"hours",0.572727272727273,0.0708566239459997,12,0.995454545454546,0.247998183810996,12,"1","NA",183,"Rattus_norvegicus",-2.23777776181173,0.377673846812409,"Rattus_norvegicus"
"s10","Abelaira","2021","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Wistar rat","postnatal","female","NA","NA","NA","NA","1","10","10","days",10,"days","NA","60","days","care deprivation","NA","NA","NA","NA","brain","prefrontal cortex","NA","NA","NA","non-enzymatic","NA","antioxidant","sulfhydryl","sulfhydryl content, oxidative damage to proteins by assessing integrity of sulfhydryl groups","nmol/mg","figure2d","maternal deprivation","control",3,"hours",0.78409090909091,0.0944754985946655,12,0.75,0.118094373243334,12,"1","NA",184,"Rattus_norvegicus",0.30777442882829,0.184074761025763,"Rattus_norvegicus"
"s10","Abelaira","2021","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Wistar rat","postnatal","female","NA","NA","NA","NA","1","10","10","days",10,"days","NA","60","days","care deprivation","NA","NA","NA","NA","brain","hippocampus","NA","NA","NA","non-enzymatic","NA","antioxidant","sulfhydryl","sulfhydryl content, oxidative damage to proteins by assessing integrity of sulfhydryl groups","nmol/mg","figure2d","maternal deprivation","control",3,"hours",0.767045454545455,0.177141559865,12,0.825,0.165332122540667,12,"1","NA",185,"Rattus_norvegicus",-0.326559506827552,0.184253343600732,"Rattus_norvegicus"
"s10","Abelaira","2021","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Wistar rat","postnatal","male","NA","NA","NA","NA","1","10","10","days",10,"days","NA","60","days","care deprivation","NA","NA","NA","NA","brain","prefrontal cortex","NA","NA","NA","NA","proteins","oxidative damage","protein carbonyls","carbonyle levels, oxidative damage to proteins by determination of carbonyl groups","nmol/mg","figure2b","maternal deprivation","control",3,"hours",0.233636363636363,0.132265698032532,12,0.0890909090909089,0.050386932583822,12,"1","NA",186,"Rattus_norvegicus",1.39436315271036,0.250631944206387,"Rattus_norvegicus"
"s10","Abelaira","2021","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Wistar rat","postnatal","male","NA","NA","NA","NA","1","10","10","days",10,"days","NA","60","days","care deprivation","NA","NA","NA","NA","brain","hippocampus","NA","NA","NA","NA","proteins","oxidative damage","protein carbonyls","carbonyle levels, oxidative damage to proteins by determination of carbonyl groups","nmol/mg","figure2b","maternal deprivation","control",3,"hours",0.263636363636363,0.0409393827243552,12,0.153636363636364,0.0598344824432885,12,"1","NA",187,"Rattus_norvegicus",2.07158087800753,0.292150835842693,"Rattus_norvegicus"
"s10","Abelaira","2021","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Wistar rat","postnatal","female","NA","NA","NA","NA","1","10","10","days",10,"days","NA","60","days","care deprivation","NA","NA","NA","NA","brain","prefrontal cortex","NA","NA","NA","NA","proteins","oxidative damage","protein carbonyls","carbonyle levels, oxidative damage to proteins by determination of carbonyl groups","nmol/mg","figure2b","maternal deprivation","control",3,"hours",0.258181818181818,0.100773865167644,12,0.139090909090909,0.072431215589244,12,"1","NA",188,"Rattus_norvegicus",1.31020733317024,0.224796447285074,"Rattus_norvegicus"
"s10","Abelaira","2021","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Wistar rat","postnatal","female","NA","NA","NA","NA","1","10","10","days",10,"days","NA","60","days","care deprivation","NA","NA","NA","NA","brain","hippocampus","NA","NA","NA","NA","proteins","oxidative damage","protein carbonyls","carbonyle levels, oxidative damage to proteins by determination of carbonyl groups","nmol/mg","figure2b","maternal deprivation","control",3,"hours",0.269090909090909,0.113370598313599,12,0.188181818181818,0.0503869325838218,12,"1","NA",189,"Rattus_norvegicus",0.890427585945252,0.20792923306207,"Rattus_norvegicus"
"s10","Abelaira","2021","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Wistar rat","postnatal","male","NA","NA","NA","NA","1","10","10","days",10,"days","NA","60","days","care deprivation","NA","NA","NA","NA","brain","prefrontal cortex","NA","NA","NA","NA","NA","oxidative damage","TBARS","thiobarbituric acid reactive substances","nmol/mg","figure2a","maternal deprivation","control",3,"hours",0.0330662983425414,0.0116267498961115,12,0.0105662983425414,0.00344496293218118,12,"1","NA",190,"Rattus_norvegicus",2.53335725946934,0.430253481791331,"Rattus_norvegicus"
"s10","Abelaira","2021","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Wistar rat","postnatal","male","NA","NA","NA","NA","1","10","10","days",10,"days","NA","60","days","care deprivation","NA","NA","NA","NA","brain","hippocampus","NA","NA","NA","NA","NA","oxidative damage","TBARS","thiobarbituric acid reactive substances","nmol/mg","figure2a","maternal deprivation","control",3,"hours",0.0369198895027624,0.00904302769697564,12,0.00658839779005526,0.00301434256565852,12,"1","NA",191,"Rattus_norvegicus",4.34456445157995,0.885349864755655,"Rattus_norvegicus"
"s10","Abelaira","2021","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Wistar rat","postnatal","female","NA","NA","NA","NA","1","10","10","days",10,"days","NA","60","days","care deprivation","NA","NA","NA","NA","brain","prefrontal cortex","NA","NA","NA","NA","NA","oxidative damage","TBARS","thiobarbituric acid reactive substances","nmol/mg","figure2a","maternal deprivation","control",3,"hours",0.0164088397790055,0.0034449629321812,12,0.0176519337016575,0.00387558329870381,12,"1","NA",192,"Rattus_norvegicus",-0.327318428136317,0.184286591233723,"Rattus_norvegicus"
"s10","Abelaira","2021","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Wistar rat","postnatal","female","NA","NA","NA","NA","1","10","10","days",10,"days","NA","60","days","care deprivation","NA","NA","NA","NA","brain","hippocampus","NA","NA","NA","NA","NA","oxidative damage","TBARS","thiobarbituric acid reactive substances","nmol/mg","figure2a","maternal deprivation","control",3,"hours",0.0190193370165746,0.00645930549783975,12,0.0110635359116022,0.0034449629321812,12,"1","NA",193,"Rattus_norvegicus",1.48383465780136,0.247388407774803,"Rattus_norvegicus"
"s10","Abelaira","2021","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Wistar rat","postnatal","male","NA","NA","NA","NA","1","10","10","days",10,"days","NA","60","days","care deprivation","NA","NA","NA","NA","brain","prefrontal cortex","NA","NA","NA","NA","NA","oxidative damage","nitrite/nitrate concentration","nitrite/nitrate concentation","nmol/mg","figure2c","maternal deprivation","control",3,"hours",0.0375550660792952,0.00991923369973363,12,0.0205947136563877,0.00763017976902588,12,"1","NA",194,"Rattus_norvegicus",1.85041458634661,0.264757246510958,"Rattus_norvegicus"
"s10","Abelaira","2021","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Wistar rat","postnatal","male","NA","NA","NA","NA","1","10","10","days",10,"days","NA","60","days","care deprivation","NA","NA","NA","NA","brain","hippocampus","NA","NA","NA","NA","NA","oxidative damage","nitrite/nitrate concentration","nitrite/nitrate concentation","nmol/mg","figure2c","maternal deprivation","control",3,"hours",0.0299559471365639,0.00724867078057463,12,0.0168502202643172,0.00763017976902588,12,"1","NA",195,"Rattus_norvegicus",1.70023554413745,0.247690756547792,"Rattus_norvegicus"
"s10","Abelaira","2021","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Wistar rat","postnatal","female","NA","NA","NA","NA","1","10","10","days",10,"days","NA","60","days","care deprivation","NA","NA","NA","NA","brain","prefrontal cortex","NA","NA","NA","NA","NA","oxidative damage","nitrite/nitrate concentration","nitrite/nitrate concentation","nmol/mg","figure2c","maternal deprivation","control",3,"hours",0.0404185022026432,0.00953772471128239,12,0.0283039647577093,0.0133528145957953,12,"1","NA",196,"Rattus_norvegicus",1.00800173352521,0.207339632771383,"Rattus_norvegicus"
"s10","Abelaira","2021","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Wistar rat","postnatal","female","NA","NA","NA","NA","1","10","10","days",10,"days","NA","60","days","care deprivation","NA","NA","NA","NA","brain","hippocampus","NA","NA","NA","NA","NA","oxidative damage","nitrite/nitrate concentration","nitrite/nitrate concentation","nmol/mg","figure2c","maternal deprivation","control",3,"hours",0.0277533039647577,0.00877470673437977,12,0.0313876651982379,0.0122082876304414,12,"1","NA",197,"Rattus_norvegicus",-0.330052228966552,0.184545489731092,"Rattus_norvegicus"
"s12","Banqueri","2020","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Wistar rat","postnatal","male","NA","NA","NA","NA","1","21","21","days",21,"days","NA","79","days","care deprivation","NA","NA","NA","NA","brain","infralimbic, IL","NA","1","NA","NA","NA","metabolic capacity","CcO","cytochrome C oxidase activity, marker of energy metabolism, also known as complex IV, also known as COX","units","figure2","maternal deprivation","control",4,"hours",20.9923664122137,3.70209332915487,12,19.8473282442748,0.793305713390343,12,"1","NA",208,"Rattus_norvegicus",0.412922726757714,0.188917784703885,"Rattus_norvegicus"
"s12","Banqueri","2020","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Wistar rat","postnatal","male","NA","NA","NA","NA","1","21","21","days",21,"days","NA","79","days","care deprivation","NA","NA","NA","NA","brain","prelimbic, PL","NA","1","NA","NA","NA","metabolic capacity","CcO","cytochrome C oxidase activity, marker of energy metabolism, also known as complex IV, also known as COX","units","figure2","maternal deprivation","control",4,"hours",22.1374045801527,4.23096380474841,12,19.5419847328244,1.85104666457743,12,"1","NA",209,"Rattus_norvegicus",0.767332257025884,0.201363867766625,"Rattus_norvegicus"
"s12","Banqueri","2020","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Wistar rat","postnatal","male","NA","NA","NA","NA","1","21","21","days",21,"days","NA","79","days","care deprivation","NA","NA","NA","NA","brain","cingulate cortex, CG","NA","1","NA","NA","NA","metabolic capacity","CcO","cytochrome C oxidase activity, marker of energy metabolism, also known as complex IV, also known as COX","units","figure2","maternal deprivation","control",4,"hours",22.5190839694656,3.70209332915485,12,18.9312977099237,1.0577409511871,12,"1","NA",210,"Rattus_norvegicus",1.27228493715905,0.245127990542005,"Rattus_norvegicus"
"s12","Banqueri","2020","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Wistar rat","postnatal","male","NA","NA","NA","NA","1","21","21","days",21,"days","NA","79","days","care deprivation","NA","NA","NA","NA","brain","Corna Ammonis 1, CA1","NA","1","NA","NA","NA","metabolic capacity","CcO","cytochrome C oxidase activity, marker of energy metabolism, also known as complex IV, also known as COX","units","figure2","maternal deprivation","control",4,"hours",17.4809160305343,3.70209332915485,12,20.2290076335878,1.05774095118711,12,"1","NA",211,"Rattus_norvegicus",-0.974516122079316,0.218961464799658,"Rattus_norvegicus"
"s12","Banqueri","2020","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Wistar rat","postnatal","male","NA","NA","NA","NA","1","21","21","days",21,"days","NA","79","days","care deprivation","NA","NA","NA","NA","brain","Cornu Ammonis 3, CA3","NA","1","NA","NA","NA","metabolic capacity","CcO","cytochrome C oxidase activity, marker of energy metabolism, also known as complex IV, also known as COX","units","figure2","maternal deprivation","control",4,"hours",17.7862595419847,4.23096380474838,12,18.3969465648855,1.58661142678065,12,"1","NA",212,"Rattus_norvegicus",-0.184524067510865,0.183031297209411,"Rattus_norvegicus"
"s12","Banqueri","2020","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Wistar rat","postnatal","male","NA","NA","NA","NA","1","21","21","days",21,"days","NA","79","days","care deprivation","NA","NA","NA","NA","brain","dentate gyrus, DG","NA","1","NA","NA","NA","metabolic capacity","CcO","cytochrome C oxidase activity, marker of energy metabolism, also known as complex IV, also known as COX","units","figure2","maternal deprivation","control",4,"hours",29.1603053435114,3.70209332915486,12,27.3282442748092,2.37991714017098,12,"1","NA",213,"Rattus_norvegicus",0.56836302261758,0.190425342205844,"Rattus_norvegicus"
"s12","Banqueri","2020","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Wistar rat","postnatal","male","NA","NA","NA","NA","1","21","21","days",21,"days","NA","79","days","care deprivation","NA","NA","NA","NA","brain","anterodorsal thalamic nucleus, AD","NA","1","NA","NA","NA","metabolic capacity","CcO","cytochrome C oxidase activity, marker of energy metabolism, also known as complex IV, also known as COX","units","figure2","maternal deprivation","control",4,"hours",34.7328244274809,2.90878761576452,12,32.2137404580153,2.64435237796776,12,"1","NA",214,"Rattus_norvegicus",0.874927890713267,0.199372971175942,"Rattus_norvegicus"
"s12","Banqueri","2020","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Wistar rat","postnatal","male","NA","NA","NA","NA","1","21","21","days",21,"days","NA","79","days","care deprivation","NA","NA","NA","NA","brain","anteroventral thalamic nucleus, AV","NA","1","NA","NA","NA","metabolic capacity","CcO","cytochrome C oxidase activity, marker of energy metabolism, also known as complex IV, also known as COX","units","figure2","maternal deprivation","control",4,"hours",23.8931297709924,5.28870475593552,12,27.8625954198473,3.43765809135808,12,"1","NA",215,"Rattus_norvegicus",-0.859214640380927,0.201361936204746,"Rattus_norvegicus"
"s12","Banqueri","2020","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Wistar rat","postnatal","male","NA","NA","NA","NA","1","21","21","days",21,"days","NA","79","days","care deprivation","NA","NA","NA","NA","brain","anteromedial thalamic nucleus, AM","NA","1","NA","NA","NA","metabolic capacity","CcO","cytochrome C oxidase activity, marker of energy metabolism, also known as complex IV, also known as COX","units","figure2","maternal deprivation","control",4,"hours",23.969465648855,1.58661142678066,12,20.9160305343511,2.11548190237419,12,"1","NA",216,"Rattus_norvegicus",1.57657432391399,0.242737649731198,"Rattus_norvegicus"
"s12","Banqueri","2020","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Wistar rat","postnatal","male","NA","NA","NA","NA","1","21","21","days",21,"days","NA","79","days","care deprivation","NA","NA","NA","NA","brain","supramammillary, SuM","NA","1","NA","NA","NA","metabolic capacity","CcO","cytochrome C oxidase activity, marker of energy metabolism, also known as complex IV, also known as COX","units","figure2","maternal deprivation","control",4,"hours",20.0763358778626,3.96652856695163,12,15.9541984732824,3.17322285356129,12,"1","NA",217,"Rattus_norvegicus",1.10798794378184,0.211063448348428,"Rattus_norvegicus"
"s12","Banqueri","2020","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Wistar rat","postnatal","male","NA","NA","NA","NA","1","21","21","days",21,"days","NA","79","days","care deprivation","NA","NA","NA","NA","brain","medial medial mammillary nucleus, MMM","NA","1","NA","NA","NA","metabolic capacity","CcO","cytochrome C oxidase activity, marker of energy metabolism, also known as complex IV, also known as COX","units","figure2","maternal deprivation","control",4,"hours",20.4580152671756,5.02426951813874,12,29.8473282442748,1.85104666457744,12,"1","NA",218,"Rattus_norvegicus",-2.3942397736107,0.387543529734125,"Rattus_norvegicus"
"s12","Banqueri","2020","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Wistar rat","postnatal","male","NA","NA","NA","NA","1","21","21","days",21,"days","NA","79","days","care deprivation","NA","NA","NA","NA","brain","medial lateral mammillary nucleus, MML","NA","1","NA","NA","NA","metabolic capacity","CcO","cytochrome C oxidase activity, marker of energy metabolism, also known as complex IV, also known as COX","units","figure2","maternal deprivation","control",4,"hours",19.8473282442748,4.4953990425452,12,17.9389312977099,2.64435237796775,12,"1","NA",219,"Rattus_norvegicus",0.499596820779656,0.188829934521586,"Rattus_norvegicus"
"s14","Amini-Khoei","2017","Mammalia","Rodentia","Muridae","Mus","musculus","lab mouse","postnatal","male","NA","NA","NA","NA","2","14","13","days",13,"days","NA","60","days","care deprivation","NA","NA","NA","NA","brain","hippocampus","NA","NA","NA","non-enzymatic","NA","antioxidant","GSH","glutathione levels, antioxidant","ug/mg","table2","maternal deprivation","control",3,"hours/day",6.2,0.3,4,11.3,1.4,4,"1","NA",229,"Mus_musculus",-4.37563826883488,3.58981422315041,"Mus_musculus"
"s14","Amini-Khoei","2017","Mammalia","Rodentia","Muridae","Mus","musculus","lab mouse","postnatal","male","NA","NA","NA","NA","2","14","13","days",13,"days","NA","60","days","care deprivation","NA","NA","NA","NA","brain","hippocampus","NA","NA","NA","NA","NA","metabolic capacity","ATP","energy metabolism","nmol/mg","table2","maternal deprivation","control",3,"hours/day",5.5,0.4,4,10.1,0.2,4,"1","NA",230,"Mus_musculus",-12.6354583417363,18.7608781839855,"Mus_musculus"
"s14","Amini-Khoei","2017","Mammalia","Rodentia","Muridae","Mus","musculus","lab mouse","postnatal","male","NA","NA","NA","NA","2","14","13","days",13,"days","NA","60","days","care deprivation","NA","NA","NA","NA","brain","hippocampus","NA","NA","NA","NA","NA","oxidative damage","nitrite","nitrite as the nitric oxide end-product, nitrosative stress","nmol/mg","table2","maternal deprivation","control",3,"hours/day",122,14,4,74,8,4,"1","NA",231,"Mus_musculus",3.65681281124705,2.06825040596773,"Mus_musculus"
"s14","Amini-Khoei","2017","Mammalia","Rodentia","Muridae","Mus","musculus","lab mouse","postnatal","male","NA","NA","NA","NA","2","14","13","days",13,"days","NA","60","days","care deprivation","NA","NA","NA","NA","brain","hippocampus","NA","NA","NA","NA","NA","oxidative damage","ROS","ros production","percent","table3","maternal deprivation","control",3,"hours/day",72.3,4,4,2.1,0.1,4,"1","NA",232,"Mus_musculus",21.5521009474852,77.9855273370141,"Mus_musculus"
"s24","do Prado","2015","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Sprague Dawley rat","postnatal","male","NA","NA","NA","NA","2","20","19","days",19,"days","NA","56","days","care deprivation","NA","NA","NA","NA","brain","prefrontal cortex","NA","NA","NA","NA","proteins","oxidative damage","protein carbonyls","oxidative protein western blot detection kit (Abcam)","OD","figure5a","maternal deprivation","control",4,"hours/day",37002567.5892186,7437462.29344274,8,38450040.8760204,12508364.2423888,8,"1","NA",397,"Rattus_norvegicus",-0.132969552948581,0.286489782622113,"Rattus_norvegicus"
"s24","do Prado","2015","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Sprague Dawley rat","postnatal","female","NA","NA","NA","NA","2","20","19","days",19,"days","NA","56","days","care deprivation","NA","NA","NA","NA","brain","prefrontal cortex","NA","NA","NA","NA","proteins","oxidative damage","protein carbonyls","oxidative protein western blot detection kit (Abcam)","OD","figure5a","maternal deprivation","control",4,"hours/day",37696568.4683612,15521676.3522651,8,36384398.9170936,5810534.84612571,8,"1","NA",398,"Rattus_norvegicus",0.105840454961306,0.286341920502676,"Rattus_norvegicus"
"s24","do Prado","2015","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Sprague Dawley rat","postnatal","male","NA","NA","NA","NA","2","20","19","days",19,"days","NA","56","days","care deprivation","NA","NA","NA","NA","brain","prefrontal cortex","NA","NA","NA","NA","NA","oxidative damage","NOX2","NADPH oxidase 2, contributes to the generation of oxidative stress","unitless","figure5c","maternal deprivation","control",4,"hours/day",0.868893313991113,0.216113685557354,8,0.913320819761422,0.280611268006131,8,"1","NA",399,"Rattus_norvegicus",-0.167687005847617,0.286784032100443,"Rattus_norvegicus"
