"study","author","year","class","order","family","genus","species","common_name","prenatal_dev_time","postnatal_dev_time","age_sexual_maturity","life_expectancy","unit_dev_time","stage","sex","prenatal_trt_start","prenatal_trt_end","prenatal_dur","prenatal_unit","post_natal_trt_start","postnatal_trt_end","dur_trt_postnatal","postnatal_unit","total_trt_duration","total_trt_unit","relative_prenatal_start","relative_prenatal_end","relative_prenatal_duration","relative_postnatal_start","relative_postnatal_end","relative_postnatal_duration","relative_total_duration","prenatal_measure_delay","postnatal_measure_delay","measure_delay_units","relative_treatment_delay","envirn_type","nutrition_sum","nutrition_type","fasting_period","fasting_period_units","tissue_sum","tissue","mito_preparation","mito_efficiency_dir","respiration_category","antioxidant_category","oxidative_damage_category","measurement_category","measure_listed","descrp_measure","units...55","ref","t1","t2","dose","units...61","mean_t1","sd_t1","n_t1","mean_t2","sd_t2","n_t2","sample_depend","CORT_values_available","observation","species_phylo","species_phylo2","SMDH","v_SMDH"
"s20","Cao","2020","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Sprague Dawley rat",22,22,63,1095,"days","prenatal","male","14","20","7","days","NA","NA","NA","NA",7,"days","0.63636363636363635","0.90909090909090906","0.31818181818181818","NA","NA","NA",0.159090909090909,"30","NA","days",1.36363636363636,"disturbance","NA","NA","NA","NA","liver","liver","NA","1","NA","NA","NA","metabolic capacity","PGC1α","protein levels, peroxisome proliferator-activated receptor gamma coactivator-1 alpha, upregulation promotes biogenesis","unitless","figure3c","restraint","control",6,"hours",37.5,13.4250880133309,6,99.2307692307693,28.9699267656087,6,1,"yes",300,"Rattus_norvegicus","Rattus_norvegicus",2.52294198416857,0.851252404706192
"s20","Cao","2020","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Sprague Dawley rat",22,22,63,1095,"days","prenatal","male","14","20","7","days","NA","NA","NA","NA",7,"days","0.63636363636363635","0.90909090909090906","0.31818181818181818","NA","NA","NA",0.159090909090909,"30","NA","days",1.36363636363636,"disturbance","NA","NA","NA","NA","liver","liver","NA","1","NA","NA","NA","metabolic capacity","COX4","protein levels","unitless","figure3c","restraint","control",6,"hours",50.4807692307693,39.5686804603436,6,99.2307692307693,24.7304252877148,6,1,"yes",301,"Rattus_norvegicus","Rattus_norvegicus",1.36337404112414,0.510785782244018
"s20","Cao","2020","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Sprague Dawley rat",22,22,63,1095,"days","prenatal","male","14","20","7","days","NA","NA","NA","NA",7,"days","0.63636363636363635","0.90909090909090906","0.31818181818181818","NA","NA","NA",0.159090909090909,"30","NA","days",1.36363636363636,"disturbance","NA","NA","NA","NA","liver","liver","NA","NA","NA","enzymatic","NA","antioxidant","Nrf2","protein levels","unitless","figure3c","restraint","control",6,"hours",53.8865546218488,23.1569408456392,6,99.5798319327731,10.0346743664437,6,1,"yes",302,"Rattus_norvegicus","Rattus_norvegicus",-2.36265608484454,0.809619165015243
"s20","Cao","2020","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Sprague Dawley rat",22,22,63,1095,"days","prenatal","male","14","20","7","days","NA","NA","NA","NA",7,"days","0.63636363636363635","0.90909090909090906","0.31818181818181818","NA","NA","NA",0.159090909090909,"30","NA","days",1.36363636363636,"disturbance","NA","NA","NA","NA","liver","liver","NA","NA","NA","enzymatic","NA","antioxidant","NQO1","protein levels","unitless","figure3c","restraint","control",6,"hours",66.4915966386555,13.1222664791956,6,99.2647058823529,29.3321250711431,6,1,"yes",303,"Rattus_norvegicus","Rattus_norvegicus",-1.33093062186929,0.52791002319456
"s20","Cao","2020","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Sprague Dawley rat",22,22,63,1095,"days","prenatal","male","14","20","7","days","NA","NA","NA","NA",7,"days","0.63636363636363635","0.90909090909090906","0.31818181818181818","NA","NA","NA",0.159090909090909,"30","NA","days",1.36363636363636,"disturbance","NA","NA","NA","NA","liver","liver","NA","NA","NA","enzymatic","NA","antioxidant","HO-1","protein levels","unitless","figure3c","restraint","control",6,"hours",60.5042016806723,27.7883290147671,6,99.8949579831933,16.9817566201354,6,1,"yes",304,"Rattus_norvegicus","Rattus_norvegicus",-1.57841562448115,0.550492766776582
"s20","Cao","2020","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Sprague Dawley rat",22,22,63,1095,"days","prenatal","male","14","20","7","days","NA","NA","NA","NA",7,"days","0.63636363636363635","0.90909090909090906","0.31818181818181818","NA","NA","NA",0.159090909090909,"30","NA","days",1.36363636363636,"disturbance","NA","NA","NA","NA","liver","liver","NA","1","NA","NA","NA","metabolic capacity","p-Akt/Akt","protein kinase B; activates AMPK, 'upstream of AMPK'","unitless","figure3a","restraint","control",6,"hours",66.6301969365427,17.6877815124387,6,98.7964989059081,19.2957616499332,6,1,"yes",305,"Rattus_norvegicus","Rattus_norvegicus",1.60359429485949,0.529544285105691
"s20","Cao","2020","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Sprague Dawley rat",22,22,63,1095,"days","prenatal","male","14","20","7","days","NA","NA","NA","NA",7,"days","0.63636363636363635","0.90909090909090906","0.31818181818181818","NA","NA","NA",0.159090909090909,"30","NA","days",1.36363636363636,"disturbance","NA","NA","NA","NA","liver","liver","NA","1","NA","NA","NA","metabolic capacity","p-AMPK/AMPK","ratio, AMP-activated protein kinase (AMPK) modulates mitochondrial biogenesis via the regulation of PGC-1a and oxidative stress via Nrf2","unitless","figure3a","restraint","control",6,"hours",77.4617067833698,14.4718212374499,6,99.781181619256,9.64788082496658,6,1,"yes",306,"Rattus_norvegicus","Rattus_norvegicus",1.67458557402532,0.56095323901726
"s20","Cao","2020","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Sprague Dawley rat",22,22,63,1095,"days","prenatal","male","14","20","7","days","NA","NA","NA","NA",7,"days","0.63636363636363635","0.90909090909090906","0.31818181818181818","NA","NA","NA",0.159090909090909,"30","NA","days",1.36363636363636,"disturbance","NA","NA","NA","NA","liver","liver","NA","1","NA","NA","NA","metabolic capacity","p-ACC/ACC","ratio, acetyle CoA carboxylase","unitless","figure3a","restraint","control",6,"hours",85.3391684901532,41.8074835748551,6,99.1247264770241,72.3591061872493,6,1,"yes",307,"Rattus_norvegicus","Rattus_norvegicus",0.215267447893977,0.402894968599561
"s20","Cao","2020","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Sprague Dawley rat",22,22,63,1095,"days","prenatal","male","14","20","7","days","NA","NA","NA","NA",7,"days","0.63636363636363635","0.90909090909090906","0.31818181818181818","NA","NA","NA",0.159090909090909,"30","NA","days",1.36363636363636,"disturbance","NA","NA","NA","NA","heart","heart","NA","1","NA","NA","NA","metabolic capacity","PGC1α","protein levels, peroxisome proliferator-activated receptor gamma coactivator-1 alpha, upregulation promotes biogenesis","unitless","figure4c","restraint","control",6,"hours",50.8,9.79795897113271,6,100,24.4948974278316,6,1,"yes",308,"Rattus_norvegicus","Rattus_norvegicus",2.4336463468362,0.851416021531716
"s20","Cao","2020","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Sprague Dawley rat",22,22,63,1095,"days","prenatal","male","14","20","7","days","NA","NA","NA","NA",7,"days","0.63636363636363635","0.90909090909090906","0.31818181818181818","NA","NA","NA",0.159090909090909,"30","NA","days",1.36363636363636,"disturbance","NA","NA","NA","NA","heart","heart","NA","1","NA","NA","NA","metabolic capacity","COX2","protein levels","unitless","figure4c","restraint","control",6,"hours",84.8,12.7373466624726,6,99.6,5.87877538267971,6,1,"yes",309,"Rattus_norvegicus","Rattus_norvegicus",1.37672168449352,0.534657563463017
"s20","Cao","2020","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Sprague Dawley rat",22,22,63,1095,"days","prenatal","male","14","20","7","days","NA","NA","NA","NA",7,"days","0.63636363636363635","0.90909090909090906","0.31818181818181818","NA","NA","NA",0.159090909090909,"30","NA","days",1.36363636363636,"disturbance","NA","NA","NA","NA","heart","heart","NA","1","NA","NA","NA","metabolic capacity","COX3","protein levels","unitless","figure4c","restraint","control",6,"hours",80.8,13.7171425595858,6,100.4,14.6969384566991,6,1,"yes",310,"Rattus_norvegicus","Rattus_norvegicus",1.27226151866908,0.481316489255937
"s20","Cao","2020","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Sprague Dawley rat",22,22,63,1095,"days","prenatal","male","14","20","7","days","NA","NA","NA","NA",7,"days","0.63636363636363635","0.90909090909090906","0.31818181818181818","NA","NA","NA",0.159090909090909,"30","NA","days",1.36363636363636,"disturbance","NA","NA","NA","NA","heart","heart","NA","1","NA","NA","NA","metabolic capacity","COX4","protein levels","unitless","figure4c","restraint","control",6,"hours",39.6,17.6363261480389,6,99.6,40.1716317816441,6,1,"yes",311,"Rattus_norvegicus","Rattus_norvegicus",1.78465975422037,0.632198255906651
"s20","Cao","2020","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Sprague Dawley rat",22,22,63,1095,"days","prenatal","male","14","20","7","days","NA","NA","NA","NA",7,"days","0.63636363636363635","0.90909090909090906","0.31818181818181818","NA","NA","NA",0.159090909090909,"30","NA","days",1.36363636363636,"disturbance","NA","NA","NA","NA","heart","heart","NA","1","NA","NA","NA","metabolic capacity","COX5","protein levels","unitless","figure4c","restraint","control",6,"hours",86.4,8.81816307401943,6,100,10.7777548682459,6,1,"yes",312,"Rattus_norvegicus","Rattus_norvegicus",1.27445525313633,0.484396274257465
"s20","Cao","2020","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Sprague Dawley rat",22,22,63,1095,"days","prenatal","male","14","20","7","days","NA","NA","NA","NA",7,"days","0.63636363636363635","0.90909090909090906","0.31818181818181818","NA","NA","NA",0.159090909090909,"30","NA","days",1.36363636363636,"disturbance","NA","NA","NA","NA","heart","heart","NA","NA","NA","enzymatic","NA","antioxidant","Nrf2","protein levels","unitless","figure4c","restraint","control",6,"hours",47.2340425531915,21.1073052303657,6,98.6170212765957,48.4686268252842,6,1,"yes",313,"Rattus_norvegicus","Rattus_norvegicus",-1.26837196667558,0.517761409099427
"s20","Cao","2020","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Sprague Dawley rat",22,22,63,1095,"days","prenatal","male","14","20","7","days","NA","NA","NA","NA",7,"days","0.63636363636363635","0.90909090909090906","0.31818181818181818","NA","NA","NA",0.159090909090909,"30","NA","days",1.36363636363636,"disturbance","NA","NA","NA","NA","heart","heart","NA","NA","NA","enzymatic","NA","antioxidant","NQO1","protein levels","unitless","figure4c","restraint","control",6,"hours",69.8936170212766,18.7620490936584,6,98.936170212766,18.7620490936584,6,1,"yes",314,"Rattus_norvegicus","Rattus_norvegicus",-1.4283561603702,0.502010066043374
"s20","Cao","2020","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Sprague Dawley rat",22,22,63,1095,"days","prenatal","male","14","20","7","days","NA","NA","NA","NA",7,"days","0.63636363636363635","0.90909090909090906","0.31818181818181818","NA","NA","NA",0.159090909090909,"30","NA","days",1.36363636363636,"disturbance","NA","NA","NA","NA","heart","heart","NA","NA","NA","enzymatic","NA","antioxidant","HO-1","protein levels","unitless","figure4c","restraint","control",6,"hours",47.8723404255319,23.452561367073,6,99.5744680851064,32.8335859139023,6,1,"yes",315,"Rattus_norvegicus","Rattus_norvegicus",-1.67212701612083,0.554505524138652
"s20","Cao","2020","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Sprague Dawley rat",22,22,63,1095,"days","prenatal","male","14","20","7","days","NA","NA","NA","NA",7,"days","0.63636363636363635","0.90909090909090906","0.31818181818181818","NA","NA","NA",0.159090909090909,"30","NA","days",1.36363636363636,"disturbance","NA","NA","NA","NA","heart","heart","NA","1","NA","NA","NA","metabolic capacity","p-Akt/Akt","protein kinase B; activates AMPK, 'upstream of AMPK'","unitless","figure4b","restraint","control",6,"hours",52.0334928229665,16.7010664280672,6,100.837320574163,44.829178306917,6,1,"yes",316,"Rattus_norvegicus","Rattus_norvegicus",1.331274890349,0.53929403578617
"s20","Cao","2020","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Sprague Dawley rat",22,22,63,1095,"days","prenatal","male","14","20","7","days","NA","NA","NA","NA",7,"days","0.63636363636363635","0.90909090909090906","0.31818181818181818","NA","NA","NA",0.159090909090909,"30","NA","days",1.36363636363636,"disturbance","NA","NA","NA","NA","heart","heart","NA","1","NA","NA","NA","metabolic capacity","p-AMPK/AMPK","ratio, AMP-activated protein kinase (AMPK) modulates mitochondrial biogenesis via the regulation of PGC-1a and oxidative stress via Nrf2","unitless","figure4b","restraint","control",6,"hours",39.4736842105263,24.6120978939937,6,100.837320574163,43.0711713144889,6,1,"yes",317,"Rattus_norvegicus","Rattus_norvegicus",1.6142201026388,0.563866562749133
"s20","Cao","2020","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Sprague Dawley rat",22,22,63,1095,"days","prenatal","male","14","20","7","days","NA","NA","NA","NA",7,"days","0.63636363636363635","0.90909090909090906","0.31818181818181818","NA","NA","NA",0.159090909090909,"30","NA","days",1.36363636363636,"disturbance","NA","NA","NA","NA","heart","heart","NA","1","NA","NA","NA","metabolic capacity","p-ACC/ACC","ratio, acetyle CoA carboxylase","unitless","figure4b","restraint","control",6,"hours",102.272727272727,42.1921678182748,6,100.478468899522,29.886118871278,6,1,"yes",318,"Rattus_norvegicus","Rattus_norvegicus",-0.0452848897093059,0.400113823833358
"s20","Cao","2020","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Sprague Dawley rat",22,22,63,1095,"days","prenatal","male","14","20","7","days","NA","NA","NA","NA",7,"days","0.63636363636363635","0.90909090909090906","0.31818181818181818","NA","NA","NA",0.159090909090909,"30","NA","days",1.36363636363636,"disturbance","NA","NA","NA","NA","adipose","adipose","NA","1","NA","NA","NA","metabolic capacity","PGC1α","protein levels, peroxisome proliferator-activated receptor gamma coactivator-1 alpha, upregulation promotes biogenesis","unitless","figure5c","restraint","control",6,"hours",47.1014492753623,15.9749331051077,6,100,48.8122955989401,6,1,"yes",319,"Rattus_norvegicus","Rattus_norvegicus",1.34405376398465,0.549075959103121
"s20","Cao","2020","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Sprague Dawley rat",22,22,63,1095,"days","prenatal","male","14","20","7","days","NA","NA","NA","NA",7,"days","0.63636363636363635","0.90909090909090906","0.31818181818181818","NA","NA","NA",0.159090909090909,"30","NA","days",1.36363636363636,"disturbance","NA","NA","NA","NA","adipose","adipose","NA","1","NA","NA","NA","metabolic capacity","COX2","protein levels","unitless","figure5c","restraint","control",6,"hours",39.1304347826087,22.1874070904274,6,99.2753623188406,59.4622510023452,6,1,"yes",320,"Rattus_norvegicus","Rattus_norvegicus",1.23665650308199,0.52011965569597
"s20","Cao","2020","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Sprague Dawley rat",22,22,63,1095,"days","prenatal","male","14","20","7","days","NA","NA","NA","NA",7,"days","0.63636363636363635","0.90909090909090906","0.31818181818181818","NA","NA","NA",0.159090909090909,"30","NA","days",1.36363636363636,"disturbance","NA","NA","NA","NA","adipose","adipose","NA","1","NA","NA","NA","metabolic capacity","COX4","protein levels","unitless","figure5c","restraint","control",6,"hours",46.0144927536232,25.7373922248957,6,99.2753623188406,38.1623401955351,6,1,"yes",321,"Rattus_norvegicus","Rattus_norvegicus",1.50994995732787,0.530004505305666
"s20","Cao","2020","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Sprague Dawley rat",22,22,63,1095,"days","prenatal","male","14","20","7","days","NA","NA","NA","NA",7,"days","0.63636363636363635","0.90909090909090906","0.31818181818181818","NA","NA","NA",0.159090909090909,"30","NA","days",1.36363636363636,"disturbance","NA","NA","NA","NA","adipose","adipose","NA","NA","NA","enzymatic","NA","antioxidant","Nrf2","protein levels","unitless","figure5c","restraint","control",6,"hours",25.8389261744966,18.0834813225604,6,98.6577181208054,69.8679960189832,6,1,"yes",322,"Rattus_norvegicus","Rattus_norvegicus",-1.31668555309553,0.552963684555335
"s20","Cao","2020","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Sprague Dawley rat",22,22,63,1095,"days","prenatal","male","14","20","7","days","NA","NA","NA","NA",7,"days","0.63636363636363635","0.90909090909090906","0.31818181818181818","NA","NA","NA",0.159090909090909,"30","NA","days",1.36363636363636,"disturbance","NA","NA","NA","NA","adipose","adipose","NA","NA","NA","enzymatic","NA","antioxidant","NQO1","protein levels","unitless","figure5c","restraint","control",6,"hours",81.2080536912752,8.21976423752749,6,98.993288590604,13.151622780044,6,1,"yes",323,"Rattus_norvegicus","Rattus_norvegicus",-1.49648452442914,0.533474544429893
"s20","Cao","2020","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Sprague Dawley rat",22,22,63,1095,"days","prenatal","male","14","20","7","days","NA","NA","NA","NA",7,"days","0.63636363636363635","0.90909090909090906","0.31818181818181818","NA","NA","NA",0.159090909090909,"30","NA","days",1.36363636363636,"disturbance","NA","NA","NA","NA","adipose","adipose","NA","NA","NA","enzymatic","NA","antioxidant","HO-1","protein levels","unitless","figure5c","restraint","control",6,"hours",61.744966442953,25.4812691363351,6,99.3288590604027,25.481269136335,6,1,"yes",324,"Rattus_norvegicus","Rattus_norvegicus",-1.36101430665547,0.492617997146044
"s20","Cao","2020","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Sprague Dawley rat",22,22,63,1095,"days","prenatal","male","14","20","7","days","NA","NA","NA","NA",7,"days","0.63636363636363635","0.90909090909090906","0.31818181818181818","NA","NA","NA",0.159090909090909,"30","NA","days",1.36363636363636,"disturbance","NA","NA","NA","NA","adipose","adipose","NA","1","NA","NA","NA","metabolic capacity","p-Akt/Akt","protein kinase B; activates AMPK, 'upstream of AMPK'","unitless","figure5a","restraint","control",6,"hours",48.3790523690773,23.2121222508131,6,98.7531172069826,53.7543883703042,6,1,"yes",325,"Rattus_norvegicus","Rattus_norvegicus",1.12269615584643,0.492652465953243
"s20","Cao","2020","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Sprague Dawley rat",22,22,63,1095,"days","prenatal","male","14","20","7","days","NA","NA","NA","NA",7,"days","0.63636363636363635","0.90909090909090906","0.31818181818181818","NA","NA","NA",0.159090909090909,"30","NA","days",1.36363636363636,"disturbance","NA","NA","NA","NA","adipose","adipose","NA","1","NA","NA","NA","metabolic capacity","p-AMPK/AMPK","ratio, AMP-activated protein kinase (AMPK) modulates mitochondrial biogenesis via the regulation of PGC-1a and oxidative stress via Nrf2","unitless","figure5a","restraint","control",6,"hours",62.3441396508728,21.9904316060335,6,98.2543640897756,23.2121222508132,6,1,"yes",326,"Rattus_norvegicus","Rattus_norvegicus",1.46557676148644,0.507709097580595
"s20","Cao","2020","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Sprague Dawley rat",22,22,63,1095,"days","prenatal","male","14","20","7","days","NA","NA","NA","NA",7,"days","0.63636363636363635","0.90909090909090906","0.31818181818181818","NA","NA","NA",0.159090909090909,"30","NA","days",1.36363636363636,"disturbance","NA","NA","NA","NA","adipose","adipose","NA","1","NA","NA","NA","metabolic capacity","p-ACC/ACC","ratio, acetyle CoA carboxylase","unitless","figure5a","restraint","control",6,"hours",134.663341645885,108.730467385388,6,97.2568578553616,32.9856474090502,6,1,"yes",327,"Rattus_norvegicus","Rattus_norvegicus",-0.429610185212955,0.415607740321529
"s20","Cao","2020","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Sprague Dawley rat",22,22,63,1095,"days","prenatal","male","14","20","7","days","NA","NA","NA","NA",7,"days","0.63636363636363635","0.90909090909090906","0.31818181818181818","NA","NA","NA",0.159090909090909,"30","NA","days",1.36363636363636,"disturbance","NA","NA","NA","NA","adipose","adipose","NA","NA","NA","NA","NA","glucocorticoids","GC","specified as glucocorticoid, measured from serum","pg/ml","figure6c","restraint","control",6,"hours",876.543209876543,70.5614329196803,6,880.658436213992,95.7619446767087,6,1,"yes",328,"Rattus_norvegicus","Rattus_norvegicus",-0.0451464657362838,0.400110852999296
