"","study","author","year","class","order","family","genus","species","common_name","stage","sex","prenatal_trt_start","prenatal_trt_end","prenatal_dur","prenatal_unit","post_natal_trt_start","postnatal_trt_end","dur_trt_postnatal","postnatal_unit","total_trt_duration","total_trt_unit","prenatal_measure_delay","postnatal_measure_delay","measure_delay_units","envirn_type","nutrition_sum","nutrition_type","admin","fasting_period","fasting_period_units","num_tissues_types","tissue_sum","tissue","mito_preparation","mito_efficiency_dir","respiration_category","antioxidant_category","oxidative_damage_category","measurement_category","measure_listed","descrp_measure","units...42","measurement_methods","ref","t1","t2","dose","units...48","mean_t1","sd_t1","n_t1","se_t1","CI95_t1","mean_t2","sd_t2","n_t2","se_t2","CI95_t2","sample_depend","control_multiple_comparisons","type","CORT_values_available","Notes","observation","SMDH","v_SMDH","ROM","v_ROM","species_phylo"
"11","s2","Stier","2022","Aves","Galliformes","Phasianidae","Cortunix","japonica","japnese quail","prenatal","both","0","16.5","16.5","days","NA","NA","NA","NA",16.5,"days","20","NA","days","temp","NA","NA","ambient","NA","NA",1,"erythrocyte","erythrocyte","homogenate","NA","atp-linked oxphos","NA","NA","respiration","OXPHOS","oxygen consumption linked to ATP synthesis; as per Stier et al. 2017","pmolO2/s/ml","oroboros","figure1b","38.4","37",1.4,"celsius",30.5692307692308,7.01538461538459,16,1.75384615384615,"NA",27.8,3.92171922207656,20,0.876923076923077,"NA","1","yes","raw","NA","View study_notes",11,0.476431983914494,0.13138078200867,0.0949579519595893,0.00428667606569782,"Coturnix_japonica"
"12","s2","Stier","2022","Aves","Galliformes","Phasianidae","Cortunix","japonica","japnese quail","prenatal","both","0","16.5","16.5","days","NA","NA","NA","NA",16.5,"days","20","NA","days","temp","NA","NA","ambient","NA","NA",1,"erythrocyte","erythrocyte","homogenate","NA","leak","NA","NA","respiration","Leak","oxygen consumption linked to proton leak following the addition of oligomycin","pmolO2/s/ml","oroboros","figure1c","38.4","37",1.4,"celsius",5.03482587064677,2.02985074626866,16,0.507462686567164,"NA",3.76119402985075,1.46846255238792,20,0.328358208955224,"NA","1","yes","raw","NA","View study_notes",12,0.702945967321964,0.132322223641186,0.291642473667878,0.0177802948242968,"Coturnix_japonica"
"13","s2","Stier","2022","Aves","Galliformes","Phasianidae","Cortunix","japonica","japnese quail","prenatal","both","0","16.5","16.5","days","NA","NA","NA","NA",16.5,"days","20","NA","days","temp","NA","NA","ambient","NA","NA",1,"erythrocyte","erythrocyte","homogenate","NA","ets","NA","NA","respiration","ETS","maximal oxygen consumption of the ETS; Stier et al. 2017","pmolO2/s/ml","oroboros","figure1d","38.4","37",1.4,"celsius",50.242214532872,7.50920859629374,14,2.00692041522492,"NA",47.0588235294118,7.48701297726933,18,1.76470588235294,"NA","1","yes","raw","NA","View study_notes",13,0.413840366944691,0.138708564028261,0.0654572166546435,0.00300184532211674,"Coturnix_japonica"
"14","s2","Stier","2022","Aves","Galliformes","Phasianidae","Cortunix","japonica","japnese quail","prenatal","both","0","16.5","16.5","days","NA","NA","NA","NA",16.5,"days","20","NA","days","temp","NA","NA","ambient","NA","NA",1,"erythrocyte","erythrocyte","homogenate","1","mitochondrial efficiency","NA","NA","respiration","OxCE","OXPHOS coupling efficiency (OXPHOS/Routine); proportion of respiration linked to ATP synthesis","unitless","oroboros","figure1e","38.4","37",1.4,"celsius",0.856227758007117,0.0520996441281136,16,0.0130249110320284,"NA",0.879288256227758,0.0525197460907423,20,0.0117437722419929,"NA","1","yes","raw","NA","View study_notes",14,-0.431033376599519,0.121951023496117,-0.0265763672871203,0.000409786717663854,"Coturnix_japonica"
"15","s2","Stier","2022","Aves","Galliformes","Phasianidae","Cortunix","japonica","japnese quail","prenatal","both","0","16.5","16.5","days","NA","NA","NA","NA",16.5,"days","20","NA","days","temp","NA","NA","ambient","NA","NA",1,"erythrocyte","erythrocyte","homogenate","1","mitochondrial capacity","NA","NA","respiration","FCR(R/ETS)","routine/ETS; proportion of maximal capacity used under endogenous conditions; Stier et al. 2017","unitless","oroboros","figure1f","38.4","37",1.4,"celsius",0.689153439153439,0.0989856451527496,14,0.0264550264550264,"NA",0.675925925925926,0.0785674201318385,18,0.0185185185185185,"NA","1","yes","raw","NA","View study_notes",15,0.144285396309738,0.140247928463523,0.0193804515496619,0.00222422660491143,"Coturnix_japonica"
"16","s2","Stier","2022","Aves","Galliformes","Phasianidae","Cortunix","japonica","japnese quail","prenatal","both","0","16.5","16.5","days","NA","NA","NA","NA",16.5,"days","60","NA","days","temp","NA","NA","ambient","NA","NA",1,"erythrocyte","erythrocyte","homogenate","NA","total oxphos","NA","NA","respiration","Routine","baseline - background; as per Stier et al. 2017","pmolO2/s/ml","oroboros","figure1a","38.4","37",1.4,"celsius",30.2508255299676,6.36406520354343,16,1.59101630088586,"NA",31.444087755632,3.81173635938326,20,0.852330161188853,"NA","1","yes","raw","NA","View study_notes",16,-0.22242133058641,0.126906150118963,-0.038687502430873,0.00350089089565883,"Coturnix_japonica"
"17","s2","Stier","2022","Aves","Galliformes","Phasianidae","Cortunix","japonica","japnese quail","prenatal","both","0","16.5","16.5","days","NA","NA","NA","NA",16.5,"days","60","NA","days","temp","NA","NA","ambient","NA","NA",1,"erythrocyte","erythrocyte","homogenate","NA","atp-linked oxphos","NA","NA","respiration","OXPHOS","oxygen consumption linked to ATP synthesis; as per Stier et al. 2017","pmolO2/s/ml","oroboros","figure1b","38.4","37",1.4,"celsius",25.0307692307692,5.16923076923078,16,1.29230769230769,"NA",25.4923076923077,3.09609412269202,20,0.692307692307693,"NA","1","yes","raw","NA","View study_notes",17,-0.105914919326871,0.126145298299413,-0.0182709102075267,0.00340305987763604,"Coturnix_japonica"
"18","s2","Stier","2022","Aves","Galliformes","Phasianidae","Cortunix","japonica","japnese quail","prenatal","both","0","16.5","16.5","days","NA","NA","NA","NA",16.5,"days","20","NA","days","temp","NA","NA","ambient","NA","NA",1,"erythrocyte","erythrocyte","homogenate","NA","leak","NA","NA","respiration","Leak","oxygen consumption linked to proton leak following the addition of oligomycin","pmolO2/s/ml","oroboros","figure1c","38.4","37",1.4,"celsius",5.08457711442786,2.50746268656716,16,0.62686567164179,"NA",5.29353233830846,0.711981843582011,20,0.1592039800995,"NA","1","yes","raw","NA","View study_notes",18,-0.110847061023766,0.131591565922284,-0.0402738991379405,0.0161043668094521,"Coturnix_japonica"
"19","s2","Stier","2022","Aves","Galliformes","Phasianidae","Cortunix","japonica","japnese quail","prenatal","both","0","16.5","16.5","days","NA","NA","NA","NA",16.5,"days","60","NA","days","temp","NA","NA","ambient","NA","NA",1,"erythrocyte","erythrocyte","homogenate","NA","ets","NA","NA","respiration","ETS","maximal oxygen consumption of the ETS; Stier et al. 2017","pmolO2/s/ml","oroboros","figure1d","38.4","37",1.4,"celsius",53.3910034602076,10.6164673257946,14,2.83737024221453,"NA",47.3702422145329,4.40412528074667,18,1.03806228373703,"NA","1","yes","raw","NA","View study_notes",19,0.722105782763385,0.163460262400026,0.119648027074711,0.00330441750702978,"Coturnix_japonica"
"20","s2","Stier","2022","Aves","Galliformes","Phasianidae","Cortunix","japonica","japnese quail","prenatal","both","0","16.5","16.5","days","NA","NA","NA","NA",16.5,"days","60","NA","days","temp","NA","NA","ambient","NA","NA",1,"erythrocyte","erythrocyte","homogenate","1","mitochondrial efficiency","NA","NA","respiration","OxCE","OXPHOS coupling efficiency (OXPHOS/Routine); proportion of respiration linked to ATP synthesis","unitless","oroboros","figure1e","38.4","37",1.4,"celsius",0.831672597864769,0.0512455516014239,16,0.012811387900356,"NA",0.813523131672598,0.0315118476544456,20,0.00704626334519576,"NA","1","yes","raw","NA","View study_notes",20,0.417163479271843,0.129030620482052,0.0220644901841022,0.000312314597844589,"Coturnix_japonica"
"21","s2","Stier","2022","Aves","Galliformes","Phasianidae","Cortunix","japonica","japnese quail","prenatal","both","0","16.5","16.5","days","NA","NA","NA","NA",16.5,"days","60","NA","days","temp","NA","NA","ambient","NA","NA",1,"erythrocyte","erythrocyte","homogenate","1","mitochondrial capacity","NA","NA","respiration","FCR(R/ETS)","routine/ETS; proportion of maximal capacity used under endogenous conditions; Stier et al. 2017","unitless","oroboros","figure1f","38.4","37",1.4,"celsius",0.571869488536155,0.122082295688391,14,0.0326278659611993,"NA",0.599647266313933,0.0710848086907108,18,0.0167548500881833,"NA","1","yes","raw","NA","View study_notes",21,-0.271055717738823,0.14639525739477,-0.047430794413654,0.00403595289434274,"Coturnix_japonica"
"22","s2","Stier","2022","Aves","Galliformes","Phasianidae","Cortunix","japonica","japnese quail","prenatal","both","0","16.5","16.5","days","NA","NA","NA","NA",16.5,"days","20","NA","days","temp","NA","NA","ambient","NA","NA",1,"erythrocyte","erythrocyte","homogenate","NA","total oxphos","NA","NA","respiration","Routine","baseline - background; as per Stier et al. 2017","pmolO2/s/ml","oroboros","figure1a","37.700000000000003","37",0.7,"celsius",30.3527217111024,4.7605668040919,20,1.06449509853784,"NA",31.8986638415994,4.5740836312599,20,1.02279619342662,"NA","2","yes","raw","NA","View study_notes",22,-0.324573845842533,0.106651529284796,-0.0496779321192533,0.00225805795520158,"Coturnix_japonica"
"23","s2","Stier","2022","Aves","Galliformes","Phasianidae","Cortunix","japonica","japnese quail","prenatal","both","0","16.5","16.5","days","NA","NA","NA","NA",16.5,"days","20","NA","days","temp","NA","NA","ambient","NA","NA",1,"erythrocyte","erythrocyte","homogenate","NA","atp-linked oxphos","NA","NA","respiration","OXPHOS","oxygen consumption linked to ATP synthesis; as per Stier et al. 2017","pmolO2/s/ml","oroboros","figure1b","37.700000000000003","37",0.7,"celsius",26.7241246478272,3.96593277484606,20,0.886809527875016,"NA",27.8,3.92171922207656,20,0.876923076923077,"NA","2","yes","raw","NA","View study_notes",23,-0.2673698227775,0.106203889555207,-0.0394693183788887,0.00209619201491774,"Coturnix_japonica"
"24","s2","Stier","2022","Aves","Galliformes","Phasianidae","Cortunix","japonica","japnese quail","prenatal","both","0","16.5","16.5","days","NA","NA","NA","NA",16.5,"days","20","NA","days","temp","NA","NA","ambient","NA","NA",1,"erythrocyte","erythrocyte","homogenate","NA","leak","NA","NA","respiration","Leak","oxygen consumption linked to proton leak following the addition of oligomycin","pmolO2/s/ml","oroboros","figure1c","37.700000000000003","37",0.7,"celsius",3.66169154228856,1.29046709149242,20,0.288557213930348,"NA",3.76119402985075,1.46846255238792,20,0.328358208955224,"NA","2","yes","raw","NA","View study_notes",24,-0.0705498904926501,0.105329729867668,-0.0268112574506569,0.0138316923816716,"Coturnix_japonica"
"25","s2","Stier","2022","Aves","Galliformes","Phasianidae","Cortunix","japonica","japnese quail","prenatal","both","0","16.5","16.5","days","NA","NA","NA","NA",16.5,"days","20","NA","days","temp","NA","NA","ambient","NA","NA",1,"erythrocyte","erythrocyte","homogenate","NA","ets","NA","NA","respiration","ETS","maximal oxygen consumption of the ETS; Stier et al. 2017","pmolO2/s/ml","oroboros","figure1d","37.700000000000003","37",0.7,"celsius",43.4256055363322,5.57855868894576,18,1.31487889273356,"NA",47.0588235294118,7.48701297726933,18,1.76470588235294,"NA","2","yes","raw","NA","View study_notes",25,-0.538067407323932,0.122252987527103,-0.0803491271642136,0.00232306084427231,"Coturnix_japonica"
"26","s2","Stier","2022","Aves","Galliformes","Phasianidae","Cortunix","japonica","japnese quail","prenatal","both","0","16.5","16.5","days","NA","NA","NA","NA",16.5,"days","20","NA","days","temp","NA","NA","ambient","NA","NA",1,"erythrocyte","erythrocyte","homogenate","1","mitochondrial efficiency","NA","NA","respiration","OxCE","OXPHOS coupling efficiency (OXPHOS/Routine); proportion of respiration linked to ATP synthesis","unitless","oroboros","figure1e","37.700000000000003","37",0.7,"celsius",0.881209964412811,0.0420157968725939,20,0.00939501779359431,"NA",0.879288256227758,0.0525197460907423,20,0.0117437722419929,"NA","2","yes","raw","NA","View study_notes",26,0.0396034384978095,0.105284789581582,0.00218314216484671,0.000292050212106434,"Coturnix_japonica"
"27","s2","Stier","2022","Aves","Galliformes","Phasianidae","Cortunix","japonica","japnese quail","prenatal","both","0","16.5","16.5","days","NA","NA","NA","NA",16.5,"days","20","NA","days","temp","NA","NA","ambient","NA","NA",1,"erythrocyte","erythrocyte","homogenate","1","mitochondrial capacity","NA","NA","respiration","FCR(R/ETS)","routine/ETS; proportion of maximal capacity used under endogenous conditions; Stier et al. 2017","unitless","oroboros","figure1f","37.700000000000003","37",0.7,"celsius",0.713403880070547,0.0823087258524021,18,0.019400352733686,"NA",0.675925925925926,0.0785674201318385,18,0.0185185185185185,"NA","2","yes","raw","NA","View study_notes",27,0.455433228503345,0.120703936141767,0.0539642187466231,0.00149012713687282,"Coturnix_japonica"
"28","s2","Stier","2022","Aves","Galliformes","Phasianidae","Cortunix","japonica","japnese quail","prenatal","both","0","16.5","16.5","days","NA","NA","NA","NA",16.5,"days","60","NA","days","temp","NA","NA","ambient","NA","NA",1,"erythrocyte","erythrocyte","homogenate","NA","total oxphos","NA","NA","respiration","Routine","baseline - background; as per Stier et al. 2017","pmolO2/s/ml","oroboros","figure1a","37.700000000000003","37",0.7,"celsius",29.861416281008,5.98122495898724,20,1.33744255970139,"NA",31.444087755632,3.81173635938326,20,0.852330161188853,"NA","2","yes","raw","NA","View study_notes",28,-0.309298521924203,0.106746444867935,-0.0516437550857227,0.00274074010263769,"Coturnix_japonica"
"29","s2","Stier","2022","Aves","Galliformes","Phasianidae","Cortunix","japonica","japnese quail","prenatal","both","0","16.5","16.5","days","NA","NA","NA","NA",16.5,"days","60","NA","days","temp","NA","NA","ambient","NA","NA",1,"erythrocyte","erythrocyte","homogenate","NA","atp-linked oxphos","NA","NA","respiration","OXPHOS","oxygen consumption linked to ATP synthesis; as per Stier et al. 2017","pmolO2/s/ml","oroboros","figure1b","37.700000000000003","37",0.7,"celsius",24.5071008281397,4.6599710104441,20,1.04200119525314,"NA",25.4923076923077,3.09609412269202,20,0.692307692307693,"NA","2","yes","raw","NA","View study_notes",29,-0.244082940496683,0.106164773287775,-0.0394138422527769,0.00254533960604523,"Coturnix_japonica"
"30","s2","Stier","2022","Aves","Galliformes","Phasianidae","Cortunix","japonica","japnese quail","prenatal","both","0","16.5","16.5","days","NA","NA","NA","NA",16.5,"days","20","NA","days","temp","NA","NA","ambient","NA","NA",1,"erythrocyte","erythrocyte","homogenate","NA","leak","NA","NA","respiration","Leak","oxygen consumption linked to proton leak following the addition of oligomycin","pmolO2/s/ml","oroboros","figure1c","37.700000000000003","37",0.7,"celsius",5.2636815920398,2.00244893507443,20,0.44776119402985,"NA",5.29353233830846,0.711981843582011,20,0.1592039800995,"NA","2","yes","raw","NA","View study_notes",30,-0.0194685501659187,0.105271144626579,-0.00565505748334566,0.00814076894596305,"Coturnix_japonica"
"31","s2","Stier","2022","Aves","Galliformes","Phasianidae","Cortunix","japonica","japnese quail","prenatal","both","0","16.5","16.5","days","NA","NA","NA","NA",16.5,"days","60","NA","days","temp","NA","NA","ambient","NA","NA",1,"erythrocyte","erythrocyte","homogenate","NA","ets","NA","NA","respiration","ETS","maximal oxygen consumption of the ETS; Stier et al. 2017","pmolO2/s/ml","oroboros","figure1d","37.700000000000003","37",0.7,"celsius",50.7958477508651,6.31257956907025,18,1.48788927335641,"NA",47.3702422145329,4.40412528074667,18,1.03806228373703,"NA","2","yes","raw","NA","View study_notes",31,0.615395724517078,0.123880068499059,0.0698203838860123,0.00133820996512525,"Coturnix_japonica"
"32","s2","Stier","2022","Aves","Galliformes","Phasianidae","Cortunix","japonica","japnese quail","prenatal","both","0","16.5","16.5","days","NA","NA","NA","NA",16.5,"days","60","NA","days","temp","NA","NA","ambient","NA","NA",1,"erythrocyte","erythrocyte","homogenate","1","mitochondrial efficiency","NA","NA","respiration","OxCE","OXPHOS coupling efficiency (OXPHOS/Routine); proportion of respiration linked to ATP synthesis","unitless","oroboros","figure1e","37.700000000000003","37",0.7,"celsius",0.825693950177936,0.0429707013469709,20,0.00960854092526686,"NA",0.813523131672598,0.0315118476544456,20,0.00704626334519576,"NA","2","yes","raw","NA","View study_notes",32,0.316585157585489,0.106701069876189,0.0148498234865503,0.000210438239850781,"Coturnix_japonica"
"33","s2","Stier","2022","Aves","Galliformes","Phasianidae","Cortunix","japonica","japnese quail","prenatal","both","0","16.5","16.5","days","NA","NA","NA","NA",16.5,"days","60","NA","days","temp","NA","NA","ambient","NA","NA",1,"erythrocyte","erythrocyte","homogenate","1","mitochondrial capacity","NA","NA","respiration","FCR(R/ETS)","routine/ETS; proportion of maximal capacity used under endogenous conditions; Stier et al. 2017","unitless","oroboros","figure1f","37.700000000000003","37",0.7,"celsius",0.604056437389771,0.0879206844332475,18,0.0207231040564373,"NA",0.599647266313933,0.0710848086907108,18,0.0167548500881833,"NA","2","yes","raw","NA","View study_notes",33,0.0539239644691343,0.117691695831508,0.00732604009207332,0.00195765004265111,"Coturnix_japonica"
"34","s3","Cossin-Sevrin","2022","Aves","Passeriformes","Paridae","Parus","major","great tit","prenatal","both","2.5","2.5","13","days","NA","NA","1","days",13,"days","7","NA","days","cort","NA","NA","injected","NA","NA",1,"erythrocyte","erythrocyte","NA","1","NA","NA","NA","metabolic capacity","mitochondrial density","mtDNA copy number","copy number","qPCR","data","cort","vehicle",0.641,"ng/ug",4.87952329627273,1.46318640294894,11,0.441167299721037,"NA",6.34602868390909,2.92239757616983,10,0.924143256925209,"NA","1","no","raw","NA","View study_notes",34,-0.60913959709311,0.231692011245685,-0.262781683245537,0.029381094294547,"Parus_major"
"35","s3","Cossin-Sevrin","2022","Aves","Passeriformes","Paridae","Parus","major","great tit","prenatal","both","2.5","2.5","13","days","NA","NA","1","days",13,"days","7","NA","days","cort","NA","NA","injected","NA","NA",1,"erythrocyte","erythrocyte","homogenate","NA","basal","NA","NA","respiration","Routine","endogenous respiration rate before permeabilization","pmolO2/s/ml","oroboros","data","cort","vehicle",0.641,"ng/ug",0.60325,0.108337960274151,12,0.0312744752638682,"NA",0.69875,0.163927991397553,11,0.0494261491002084,"NA","1","no","raw","NA","View study_notes",35,-0.662445577892371,0.206945229130626,-0.146961319964168,0.00769118249709765,"Parus_major"
"36","s3","Cossin-Sevrin","2022","Aves","Passeriformes","Paridae","Parus","major","great tit","prenatal","both","2.5","2.5","13","days","NA","NA","1","days",13,"days","7","NA","days","cort","NA","NA","injected","NA","NA",1,"erythrocyte","erythrocyte","homogenate","NA","total oxphos","NA","NA","respiration","Maximal","maximum rate fueled with substrates of CI and CII and ADP","pmolO2/s/ml","oroboros","data","cort","vehicle",0.641,"ng/ug",2.55075,0.613244149065965,12,0.177028337271099,"NA",3.195,0.902458964063286,11,0.272101615680977,"NA","1","no","raw","NA","View study_notes",36,-0.80479180645629,0.212350414405219,-0.225199654256221,0.0120697495371833,"Parus_major"
"37","s3","Cossin-Sevrin","2022","Aves","Passeriformes","Paridae","Parus","major","great tit","prenatal","both","2.5","2.5","13","days","NA","NA","1","days",13,"days","7","NA","days","cort","NA","NA","injected","NA","NA",1,"erythrocyte","erythrocyte","homogenate","NA","atp-linked oxphos","NA","NA","respiration","OXPHOS","rate supporting ATP synthesis through OXPHOS","pmolO2/s/ml","oroboros","data","cort","vehicle",0.641,"ng/ug",0.496416666666667,0.164366253079868,12,0.0474484502306759,"NA",0.625166666666667,0.121296656128184,11,0.0365723178819953,"NA","1","no","raw","NA","View study_notes",37,-0.859055895240002,0.206875950615554,-0.230602653013145,0.0125581630969403,"Parus_major"
"38","s3","Cossin-Sevrin","2022","Aves","Passeriformes","Paridae","Parus","major","great tit","prenatal","both","2.5","2.5","13","days","NA","NA","1","days",13,"days","7","NA","days","cort","NA","NA","injected","NA","NA",1,"erythrocyte","erythrocyte","homogenate","NA","leak","NA","NA","respiration","Leak","the respiration rate contributing to proton leak (not producing ATP but dissapating heat)","pmolO2/s/ml","oroboros","data","cort","vehicle",0.641,"ng/ug",2.05408333333333,0.493991250996014,12,0.142602990869934,"NA",2.56966666666667,0.837934943594651,11,0.252646891511916,"NA","1","no","raw","NA","View study_notes",38,-0.722453612110317,0.211260232775207,-0.223946506882536,0.0144863257968846,"Parus_major"
"39","s3","Cossin-Sevrin","2022","Aves","Passeriformes","Paridae","Parus","major","great tit","prenatal","both","2.5","2.5","13","days","NA","NA","1","days",13,"days","7","NA","days","cort","NA","NA","injected","NA","NA",1,"erythrocyte","erythrocyte","homogenate","1","mitochondrial efficiency","NA","NA","respiration","oxphos coupling efficiency","OXPHOS coupling efficiency = (1-leak)/CI + CII","unitless","oroboros","data","cort","vehicle",0.641,"ng/ug",0.807333333333333,0.0425917903598875,12,0.0122951908147746,"NA",0.796916666666667,0.0448663841226639,11,0.0135277238031668,"NA","1","no","raw","NA","View study_notes",39,0.229504100492126,0.192648207550269,0.0129865208833855,0.000520087517685686,"Parus_major"
